Wall time,Step,Value
1644436719.634301,94500,-30.63994026184082
1644436720.5009823,95000,-30.63994026184082
1644436721.6000433,95500,-30.60858726501465
1644436722.4128714,96000,-29.04500961303711
1644436723.2356715,96500,-23.981216430664062
1644436725.1515467,97000,-23.981216430664062
1644436726.7233448,97500,-23.332304000854492
1644436727.832379,98000,-23.332304000854492
1644436729.0251904,98500,-26.508352279663086
1644436730.0644107,99000,-27.325366973876953
1644436731.3300278,99500,-27.325366973876953
1644436732.3373342,100000,-27.218671798706055
1644436733.1551487,100500,-27.515178680419922
1644436734.481601,101000,-27.515178680419922
1644436735.8539314,101500,-30.536731719970703
1644436737.0706782,102000,-30.536731719970703
1644436738.0181446,102500,-31.069290161132812
1644436738.7930741,103000,-31.080997467041016
1644436740.2451909,103500,-31.080997467041016
1644436741.1128705,104000,-30.951005935668945
1644436742.990849,104500,-30.951005935668945
1644436744.3631797,105000,-31.953384399414062
1644436746.0377023,105500,-31.953384399414062
1644436747.5187442,106000,-33.66474151611328
1644436749.806626,106500,-33.66474151611328
1644436750.5835478,107000,-32.81769943237305
1644436751.4951098,107500,-28.671287536621094
1644436752.7717288,108000,-28.104658126831055
1644436754.1121142,108500,-28.104658126831055
1644436756.5555937,109000,-28.66883659362793
1644436757.3305087,109500,-25.831445693969727
1644436758.0386145,110000,-24.531978607177734
1644436758.7945943,110500,-23.839099884033203
1644436760.6177182,111000,-23.839099884033203
1644436761.7167788,111500,-26.57430076599121
1644436762.4578001,112000,-26.56414794921875
1644436764.093426,112500,-26.56414794921875
1644436765.3011968,113000,-27.215904235839844
1644436765.9953406,113500,-27.00320816040039
1644436767.4145453,114000,-27.00320816040039
1644436769.2257035,114500,-25.94379234313965
1644436770.3716383,115000,-25.94379234313965
1644436772.2755487,115500,-24.75538444519043
1644436773.0375113,116000,-19.96016502380371
1644436773.8932292,116500,-16.451730728149414
1644436774.939424,117000,-12.088236808776855
1644436775.881905,117500,-8.826106071472168
1644436776.956033,118000,-8.826106071472168
1644436778.2575538,118500,-10.243380546569824
1644436779.6199107,119000,-5.610639572143555
1644436780.4137893,119500,-2.346601963043213
1644436781.3452969,120000,-2.346601963043213
1644436782.8233457,120500,-1.422511339187622
1644436783.990225,121000,-1.422511339187622
1644436785.7136164,121500,-2.4680848121643066
1644436786.8027048,122000,-5.725338459014893
1644436787.7850914,122500,-2.7332589626312256
1644436789.1185133,123000,-2.7332589626312256
1644436790.4190352,123500,-2.152846336364746
1644436792.527399,124000,-2.152846336364746
1644436793.5247312,124500,-2.829303026199341
1644436795.310955,125000,-2.829303026199341
1644436796.5925286,125500,-1.9695342779159546
1644436798.4146574,126000,-1.9695342779159546
1644436799.832865,126500,1.9874377250671387
1644436800.7972865,127000,1.9874377250671387
1644436801.9621716,127500,1.0877623558044434
1644436803.0293174,128000,1.0877623558044434
1644436804.8374834,128500,2.645913600921631
1644436805.6622784,129000,2.645913600921631
1644436807.2709763,129500,1.7216273546218872
1644436808.1615956,130000,1.7216273546218872
1644436809.6246848,130500,-0.6802178621292114
1644436810.9760697,131000,-0.6802178621292114
1644436812.9089034,131500,-3.518752336502075
1644436813.76661,132000,-3.518752336502075
1644436816.1641994,132500,-3.7204248905181885
1644436816.9520924,133000,-3.7204248905181885
1644436817.9424448,133500,-4.990691184997559
1644436818.923819,134000,-5.707784652709961
1644436820.20639,134500,-5.707784652709961
1644436821.2256646,135000,-3.797377347946167
1644436823.242272,135500,-3.797377347946167
1644436824.5896697,136000,-5.083956241607666
1644436826.0318143,136500,-5.083956241607666
1644436827.0261555,137000,-3.4063565731048584
1644436828.0903099,137500,0.4983442723751068
1644436829.0078588,138000,3.84999942779541
1644436830.3263319,138500,3.84999942779541
1644436832.0377564,139000,3.4479784965515137
1644436833.675378,139500,3.4479784965515137
1644436835.4685822,140000,2.818042516708374
1644436837.513116,140500,2.818042516708374
1644436838.9383063,141000,3.8463380336761475
1644436840.646739,141500,3.8463380336761475
1644436841.859511,142000,1.5759769678115845
1644436842.9465878,142500,5.479456424713135
1644436843.9189878,143000,5.479456424713135
1644436845.358141,143500,9.17297649383545
1644436846.5708969,144000,9.17297649383545
1644436847.4894414,144500,5.801925182342529
1644436848.8877015,145000,9.358695030212402
1644436850.3328383,145500,9.358695030212402
1644436851.6632805,146000,8.624990463256836
1644436853.5612073,146500,8.624990463256836
1644436854.5545492,147000,10.643584251403809
1644436856.0415754,147500,13.911933898925781
1644436857.6851802,148000,13.911933898925781
1644436859.4534528,148500,16.8076171875
1644436861.5578258,149000,16.8076171875
1644436862.6339478,149500,13.736133575439453
1644436864.2516234,150000,13.736133575439453
1644436865.901212,150500,13.506884574890137
1644436867.6704814,151000,13.506884574890137
1644436868.862294,151500,16.45391082763672
1644436870.4907093,152000,16.45391082763672
1644436871.3364477,152500,16.63298797607422
1644436872.648939,153000,16.63298797607422
1644436873.6362984,153500,15.643407821655273
1644436875.2818995,154000,15.643407821655273
1644436876.0987146,154500,16.375566482543945
1644436876.93448,155000,16.086780548095703
1644436877.8250988,155500,20.050006866455078
1644436879.7429717,156000,20.050006866455078
1644436880.9986134,156500,20.084842681884766
1644436881.9031947,157000,20.084842681884766
1644436882.8736007,157500,22.354293823242188
1644436884.7326293,158000,24.664928436279297
1644436885.587345,158500,24.664928436279297
1644436886.5647314,159000,27.324514389038086
1644436888.1873975,159500,27.324514389038086
1644436889.0331304,160000,30.48311424255371
1644436890.0165012,160500,32.6654052734375
1644436890.9350443,161000,33.09637451171875
1644436892.2575204,161500,36.846588134765625
1644436893.0244598,162000,37.65882873535156
1644436894.120528,162500,37.84152603149414
1644436895.080961,163000,41.240745544433594
1644436896.4782238,163500,41.240745544433594
1644436897.540384,164000,43.293888092041016
1644436898.3532107,164500,43.26239013671875
1644436899.1949608,165000,42.0986328125
1644436900.2655704,165500,43.148372650146484
1644436901.4932876,166000,41.57698059082031
1644436903.1059766,166500,44.30596160888672
1644436904.283826,167000,44.30596160888672
1644436905.651171,167500,45.898807525634766
1644436906.7542207,168000,48.677154541015625
1644436907.57702,168500,48.463409423828125
1644436908.6621199,169000,49.13910675048828
1644436909.602606,169500,52.6407470703125
1644436910.5201535,170000,51.613521575927734
1644436911.3160267,170500,49.2265625
1644436912.4609613,171000,48.48456954956055
1644436913.4742525,171500,48.273963928222656
1644436914.2152777,172000,48.02690124511719
1644436915.2445242,172500,48.02690124511719
1644436916.2757614,173000,47.108070373535156
1644436917.3030155,173500,42.705108642578125
1644436917.951283,174000,42.144039154052734
1644436918.6294699,174500,38.21474838256836
1644436919.5031333,175000,38.05693054199219
1644436920.422674,175500,36.57972717285156
1644436921.2574422,176000,37.78798294067383
1644436921.8797793,176500,38.70729064941406
1644436922.64573,177000,33.54050064086914
1644436923.5054307,177500,33.13357162475586
1644436924.412007,178000,25.422014236450195
1644436925.2028935,178500,21.66904640197754
1644436925.870109,179000,17.13373565673828
1644436926.6450365,179500,17.124975204467773
1644436927.645362,180000,14.062326431274414
1644436928.8800604,180500,11.512045860290527
1644436929.9172873,181000,11.512045860290527
1644436931.16595,181500,10.255268096923828
1644436932.195196,182000,9.498604774475098
1644436933.5814903,182500,5.117401599884033
1644436934.3005676,183000,4.424646377563477
1644436935.1034205,183500,3.4692165851593018
1644436936.293239,184000,3.4692165851593018
1644436937.4501462,184500,2.2067151069641113
1644436938.131325,185000,-1.4596033096313477
1644436939.0229404,185500,-2.322960615158081
1644436939.923533,186000,-3.631063938140869
1644436940.8620245,186500,-3.631063938140869
1644436941.7097569,187000,-3.6203317642211914
1644436942.5215852,187500,-4.3166728019714355
1644436943.670514,188000,-4.3166728019714355
1644436944.4594047,188500,-5.058040618896484
1644436945.4048767,189000,-8.315862655639648
1644436947.0734153,189500,-8.315862655639648
1644436947.996947,190000,-14.221338272094727
1644436948.834706,190500,-14.221338272094727
1644436950.0275164,191000,-17.03632354736328
1644436950.9819648,191500,-19.820892333984375
1644436952.351303,192000,-23.1538143157959
1644436953.7735002,192500,-23.1538143157959
1644436955.165778,193000,-25.643836975097656
1644436956.2040033,193500,-25.643836975097656
1644436957.304062,194000,-26.507614135742188
1644436958.3612332,194500,-29.76521110534668
1644436959.1511233,195000,-32.41099166870117
1644436959.9120874,195500,-32.41099166870117
1644436961.6384714,196000,-35.003822326660156
1644436962.6338112,196500,-35.003822326660156
1644436963.7817419,197000,-35.71949768066406
1644436964.6045403,197500,-35.80904769897461
1644436965.6597195,198000,-41.64091491699219
1644436966.8475435,198500,-41.64091491699219
1644436968.0902207,199000,-44.17454528808594
1644436969.411687,199500,-44.17454528808594
1644436970.5865462,200000,-46.30265808105469
1644436971.4422581,200500,-46.30265808105469
1644436972.6919165,201000,-49.568565368652344
1644436973.8548086,201500,-49.568565368652344
1644436974.6646423,202000,-51.40009689331055
1644436975.5183609,202500,-53.431434631347656
1644436976.925597,203000,-53.431434631347656
1644436977.8281837,203500,-54.21875
1644436978.898322,204000,-52.174644470214844
1644436979.9864142,204500,-53.62977981567383
1644436980.9179223,205000,-53.62977981567383
1644436982.1336715,205500,-57.122093200683594
1644436983.3185034,206000,-61.03266906738281
1644436984.1931648,206500,-62.35284423828125
1644436985.132653,207000,-62.35284423828125
1644436986.8999274,207500,-62.67028045654297
1644436988.13363,208000,-62.67028045654297
1644436989.6655324,208500,-65.52899932861328
1644436991.0508296,209000,-65.52899932861328
1644436992.5388503,209500,-67.24602508544922
1644436993.5112517,210000,-67.24602508544922
1644436995.00027,210500,-70.08773040771484
1644436996.0883594,211000,-70.08773040771484
1644436997.6581616,211500,-72.41209411621094
1644436998.865934,212000,-72.41209411621094
1644437000.0258305,212500,-75.73634338378906
1644437001.3243597,213000,-75.73634338378906
1644437002.7994165,213500,-78.52239227294922
1644437003.783783,214000,-78.52239227294922
1644437004.975597,214500,-78.00936889648438
1644437005.8033838,215000,-78.00936889648438
1644437007.2195973,215500,-82.17793273925781
1644437008.6238422,216000,-82.17793273925781
1644437009.8655229,216500,-85.57978057861328
1644437011.0353937,217000,-85.57978057861328
1644437012.426674,217500,-88.63153076171875
1644437013.6085145,218000,-91.64122772216797
1644437014.7145576,218500,-91.64122772216797
1644437016.081901,219000,-93.66813659667969
1644437017.1021729,219500,-93.66813659667969
1644437018.5114052,220000,-93.82913970947266
1644437019.7121942,220500,-93.82913970947266
1644437021.1762874,221000,-95.6930923461914
1644437022.2533998,221500,-95.6930923461914
1644437023.7274594,222000,-98.19085693359375
1644437024.6589704,222500,-98.19085693359375
1644437026.129036,223000,-100.29391479492188
1644437027.004696,223500,-100.29391479492188
